total_bill,z-score,within_1sd,within_2sd,within_3sd
16.99,-0.31406574275923616,True,True,True
10.34,-1.0610543154877743,False,True,True
21.01,0.13749727413831675,True,True,True
23.68,0.4374159943165417,True,True,True
24.59,0.5396354832162364,True,True,True
25.29,0.6182658592929247,True,True,True
8.77,-1.237411016116918,False,True,True
26.88,0.7968691420956879,True,True,True
15.04,-0.5331075046871533,True,True,True
14.78,-0.562313072944209,True,True,True
10.27,-1.0689173530954432,False,True,True
35.26,1.7381870728423272,False,True,True
15.42,-0.49042244338837965,True,True,True
18.43,-0.15231182625862016,True,True,True
14.83,-0.5566966175101598,True,True,True
21.58,0.20152486608647682,True,True,True
10.33,-1.0621776065745843,False,True,True
16.29,-0.3926961188359243,True,True,True
16.97,-0.31631232493285577,True,True,True
20.65,0.09705879501316246,True,True,True
17.92,-0.2095996716859214,True,True,True
20.29,0.05662031588800856,True,True,True
15.77,-0.45110725535003554,True,True,True
39.42,2.205476164955218,False,False,True
19.82,0.0038256348079465756,True,True,True
17.81,-0.22195587364082986,True,True,True
13.37,-0.7206971161843952,True,True,True
12.69,-0.7970809100874638,True,True,True
21.7,0.2150043591281949,True,True,True
19.65,-0.015270313667820763,True,True,True
9.55,-1.149794311345751,False,True,True
18.35,-0.16129815495309863,True,True,True
15.06,-0.5308609225135336,True,True,True
20.69,0.10155195936040208,True,True,True
17.78,-0.2253257469012591,True,True,True
24.06,0.48010105561531524,True,True,True
16.31,-0.3904495366623047,True,True,True
16.93,-0.320805489280095,True,True,True
18.69,-0.12310625800156434,True,True,True
31.27,1.2899939292052043,False,True,True
16.04,-0.4207783960061701,True,True,True
17.46,-0.26127106167917374,True,True,True
13.94,-0.6566695242362348,True,True,True
9.68,-1.1351915272172233,False,True,True
30.4,1.1922676046527487,False,True,True
18.29,-0.16803790147395786,True,True,True
22.23,0.27453878672911614,True,True,True
32.4,1.4169258220147152,False,True,True
28.55,0.9844587535929301,True,True,True
18.04,-0.19612017864420367,True,True,True
12.54,-0.8139302763896114,True,True,True
10.29,-1.0666707709218237,False,True,True
34.81,1.6876389739358852,False,True,True
9.94,-1.1059859589601677,False,True,True
25.56,0.6485947186367901,True,True,True
19.49,-0.03324297105677809,True,True,True
38.01,2.047092121715031,False,False,True
26.41,0.7440744610156259,True,True,True
11.24,-0.9599581176748895,True,True,True
48.27,3.1995887767819196,False,False,False
20.29,0.05662031588800856,True,True,True
13.81,-0.6712723083647625,True,True,True
11.02,-0.9846705215847058,True,True,True
18.29,-0.16803790147395786,True,True,True
17.59,-0.24666827755064605,True,True,True
20.08,0.03303120306500199,True,True,True
16.45,-0.374723461446967,True,True,True
3.07,-1.8776869355985224,False,True,True
20.23,0.04988056936714971,True,True,True
15.01,-0.5364773779475828,True,True,True
12.02,-0.8723414129037226,True,True,True
17.07,-0.30507941406475725,True,True,True
26.86,0.7946225599220683,True,True,True
25.28,0.617142568206115,True,True,True
14.73,-0.5679295283782579,True,True,True
10.51,-1.0419583670120072,False,True,True
17.92,-0.2095996716859214,True,True,True
27.2,0.8328144568736026,True,True,True
22.76,0.3340732143300374,True,True,True
17.29,-0.2803670101549411,True,True,True
19.44,-0.03885942649082694,True,True,True
16.66,-0.3511343486239604,True,True,True
10.07,-1.0913831748316398,False,True,True
32.68,1.4483779724453907,False,True,True
